id,event_id,latitude,longitude,type,area,date_time,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,event_url,fccs_number,owner,sf_ProvinceName,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_hourly_area,sf_hourly_area_fraction,sf_hourly_flaming_fraction,sf_hourly_heat,sf_hourly_residual_fraction,sf_hourly_smolder_fraction,sf_server,sf_stream_name,timezone
SF11C173223815910433420,SF11E637048,37.218,-89.659,WF,39.500536469,202009210000-05:00,10.0,MO,,,29201,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,0,,,[],[],2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223815910433420,SF11E637048,37.218,-89.659,WF,39.500536469,202009220000-05:00,10.0,MO,,,29201,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,0,,,[],[],2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223815910433420,SF11E637048,37.218,-89.659,WF,39.500536469,202009230000-05:00,10.0,MO,,,29201,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,0,,,[],[],2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223915910433420,SF11E636784,36.894,-90.089,WF,39.500536469,202009190000-05:00,10.0,MO,,,29207,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/a273f5d1-219e-430e-a66c-73e8866ade4a,0,,,[],[],a273f5d1-219e-430e-a66c-73e8866ade4a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223915910433420,SF11E636784,36.894,-90.089,WF,39.500536469,202009200000-05:00,10.0,MO,,,29207,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/a273f5d1-219e-430e-a66c-73e8866ade4a,0,,,[],[],a273f5d1-219e-430e-a66c-73e8866ade4a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223915910433420,SF11E636784,36.894,-90.089,WF,39.500536469,202009210000-05:00,10.0,MO,,,29207,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/a273f5d1-219e-430e-a66c-73e8866ade4a,0,,,[],[],a273f5d1-219e-430e-a66c-73e8866ade4a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223915910433420,SF11E636784,36.894,-90.089,WF,39.500536469,202009220000-05:00,10.0,MO,,,29207,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/a273f5d1-219e-430e-a66c-73e8866ade4a,0,,,[],[],a273f5d1-219e-430e-a66c-73e8866ade4a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223915910433420,SF11E636784,36.894,-90.089,WF,39.500536469,202009230000-05:00,10.0,MO,,,29207,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/a273f5d1-219e-430e-a66c-73e8866ade4a,0,,,[],[],a273f5d1-219e-430e-a66c-73e8866ade4a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173224015910433420,SF11E637049,37.829,-86.936,WF,128.892884889,202009190000-05:00,10.0,KY,,,21059,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,1.0754047878,1.04176312527,0.0,4.16810490617,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,424987374.41766906,3.2423689999999996,3.825982,38.166273,415.7242739999999,1.854531,0.457356,0.6251709999999999,0.26742099999999996,8.986899000000001,Urban,0.0,http://tomcat-sf/smartfire/events/15001f53-5dd6-4791-8849-b68504b39061,0,,,[],[],15001f53-5dd6-4791-8849-b68504b39061,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173224015910433420,SF11E637049,37.829,-86.936,WF,128.892884889,202009200000-05:00,10.0,KY,,,21059,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,1.0754047878,1.04176312527,0.0,4.16810490617,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,424987374.41766906,3.2423689999999996,3.825982,38.166273,415.7242739999999,1.854531,0.457356,0.6251709999999999,0.26742099999999996,8.986899000000001,Urban,0.0,http://tomcat-sf/smartfire/events/15001f53-5dd6-4791-8849-b68504b39061,0,,,[],[],15001f53-5dd6-4791-8849-b68504b39061,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
